Full title,Title29,Title20,ISSN,EISSN,Category name
Psychological Science in the Public Interest,PSYCHOL SCI PUBLIC INTEREST,PSYCHOL SCI PUBL INT,1529-1006,1539-6053,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL SCIENCE,PSYCHOL SCI,PSYCHOL SCI,0956-7976,1467-9280,PSYCHIATRY/PSYCHOLOGY
Psychological Services,PSYCHOL SERV,PSYCHOL SERV,1541-1559,1939-148X,PSYCHIATRY/PSYCHOLOGY
Psychological Trauma-Theory Research Practice and Policy,PSYCHOL TRAUMA,PSYCHOL TRAUMA-US,1942-9681,1942-969X,PSYCHIATRY/PSYCHOLOGY
Psychologie Francaise,PSYCHOL FR,PSYCHOL FR,0033-2984,null,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,PSYCHOL ERZIEH UNTERRICHT,PSYCHOL ERZ UNTERR,0342-183X,null,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGISCHE RUNDSCHAU,PSYCHOL RUNDSCH,PSYCHOL RUNDSCH,0033-3042,2190-6238,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGIST,PSYCHOLOGIST,PSYCHOLOGIST,0952-8229,0952-8229,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY AND AGING,PSYCHOL AGING,PSYCHOL AGING,0882-7974,1939-1498,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,PSYCHOL PSYCHOTHER-THEORY RES,PSYCHOL PSYCHOTHER-T,1476-0835,2044-8341,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY CRIME & LAW,PSYCHOL CRIME LAW,PSYCHOL CRIME LAW,1068-316X,1477-2744,PSYCHIATRY/PSYCHOLOGY
Psychology Health & Medicine,PSYCHOL HEALTH MED,PSYCHOL HEALTH MED,1354-8506,1465-3966,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY & HEALTH,PSYCHOL HEALTH,PSYCHOL HEALTH,0887-0446,1476-8321,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY IN THE SCHOOLS,PSYCHOL SCH,PSYCHOL SCHOOLS,0033-3085,1520-6807,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY & MARKETING,PSYCHOL MARKET,PSYCHOL MARKET,0742-6046,1520-6793,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,PSYCHOL ADDICT BEHAV,PSYCHOL ADDICT BEHAV,0893-164X,1939-1501,PSYCHIATRY/PSYCHOLOGY
Psychology of Aesthetics Creativity and the Arts,PSYCHOL AESTHET CREAT ARTS,PSYCHOL AESTHET CREA,1931-3896,1931-390X,PSYCHIATRY/PSYCHOLOGY
Psychology of Learning and Motivation,PSYCH LEARN MOTIV-ADV RES TH,PSYCHOL LEARN MOTIV,0079-7421,null,PSYCHIATRY/PSYCHOLOGY
Psychology of Men & Masculinity,PSYCHOL MEN MASCULINITY,PSYCHOL MEN MASCULIN,1524-9220,1939-151X,PSYCHIATRY/PSYCHOLOGY
Psychology of Music,PSYCHOL MUSIC,PSYCHOL MUSIC,0305-7356,1741-3087,PSYCHIATRY/PSYCHOLOGY
Psychology of Religion and Spirituality,PSYCHOL RELIG SPIRITUAL,PSYCHOL RELIG SPIRIT,1941-1022,1943-1562,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY OF SPORT AND EXERCISE,PSYCHOL SPORT EXERC,PSYCHOL SPORT EXERC,1469-0292,1878-5476,PSYCHIATRY/PSYCHOLOGY
Psychology of Violence,PSYCHOL VIOLENCE,PSYCHOL VIOLENCE,2152-0828,2152-081X,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY OF WOMEN QUARTERLY,PSYCHOL WOMEN QUART,PSYCHOL WOMEN QUART,0361-6843,1471-6402,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGY PUBLIC POLICY AND LAW,PSYCHOL PUBLIC POLICY LAW,PSYCHOL PUBLIC POL L,1076-8971,1939-1528,PSYCHIATRY/PSYCHOLOGY
Psychology Research and Behavior Management,PSYCHOL RES BEHAV MANAG,PSYCHOL RES BEHAV MA,1179-1578,1179-1578,PSYCHIATRY/PSYCHOLOGY
Psychology & Sexuality,PSYCHOL SEX,PSYCHOL SEX,1941-9899,1941-9902,PSYCHIATRY/PSYCHOLOGY
PSYCHOMETRIKA,PSYCHOMETRIKA,PSYCHOMETRIKA,0033-3123,1860-0980,PSYCHIATRY/PSYCHOLOGY
PSYCHONOMIC BULLETIN & REVIEW,PSYCHONOMIC BULL REV,PSYCHON B REV,1069-9384,1531-5320,PSYCHIATRY/PSYCHOLOGY
Psycho-Oncologie,PSYCHO-ONCOLOGIE,PSYCHO-ONCOLOGIE,1778-3798,1778-381X,PSYCHIATRY/PSYCHOLOGY
PSYCHO-ONCOLOGY,PSYCHO-ONCOL,PSYCHO-ONCOLOGY,1057-9249,1099-1611,PSYCHIATRY/PSYCHOLOGY
PSYCHOPATHOLOGY,PSYCHOPATHOLOGY,PSYCHOPATHOLOGY,0254-4962,1423-033X,PSYCHIATRY/PSYCHOLOGY
PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,0048-5772,1469-8986,PSYCHIATRY/PSYCHOLOGY
Psychosis-Psychological Social and Integrative Approaches,PSYCHOSIS,PSYCHOSIS,1752-2439,1752-2447,PSYCHIATRY/PSYCHOLOGY
Psychosocial Intervention,PSYCHOSOC INTERV,PSYCHOSOC INTERV,1132-0559,1132-0559,PSYCHIATRY/PSYCHOLOGY
PSYCHOSOMATIC MEDICINE,PSYCHOSOM MED,PSYCHOSOM MED,0033-3174,1534-7796,PSYCHIATRY/PSYCHOLOGY
PSYCHOSOMATICS,PSYCHOSOMATICS,PSYCHOSOMATICS,0033-3182,null,PSYCHIATRY/PSYCHOLOGY
PSYCHOTHERAPEUT,PSYCHOTHERAPEUT,PSYCHOTHERAPEUT,0935-6185,1432-2080,PSYCHIATRY/PSYCHOLOGY
PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,PSYCHOTHER PSYCHOSOM MED PSYC,PSYCHOTHER PSYCH MED,0937-2032,1439-1058,PSYCHIATRY/PSYCHOLOGY
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,PSYCHOTHER PSYCHOSOM,0033-3190,1423-0348,PSYCHIATRY/PSYCHOLOGY
PSYCHOTHERAPY,PSYCHOTHERAPY,PSYCHOTHERAPY,0033-3204,1939-1536,PSYCHIATRY/PSYCHOLOGY
PSYCHOTHERAPY RESEARCH,PSYCHOTHER RES,PSYCHOTHER RES,1050-3307,1468-4381,PSYCHIATRY/PSYCHOLOGY
Qualitative Research in Psychology,QUAL RES PSYCHOL,QUAL RES PSYCHOL,1478-0887,1478-0895,PSYCHIATRY/PSYCHOLOGY
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,QUART J EXP PSYCHOL,Q J EXP PSYCHOL,1747-0218,1747-0226,PSYCHIATRY/PSYCHOLOGY
Recht & Psychiatrie,RECHT PSYCHIATR,RECHT PSYCHIATR,0724-2247,null,PSYCHIATRY/PSYCHOLOGY
REHABILITATION PSYCHOLOGY,REHABIL PSYCHOL,REHABIL PSYCHOL,0090-5550,1939-1544,PSYCHIATRY/PSYCHOLOGY
Research in Autism Spectrum Disorders,RES AUTISM SPECTR DISORD,RES AUTISM SPECT DIS,1750-9467,1878-0237,PSYCHIATRY/PSYCHOLOGY
Research in Human Development,RES HUM DEV,RES HUM DEV,1542-7609,1542-7617,PSYCHIATRY/PSYCHOLOGY
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,RES QUART EXERCISE SPORT,RES Q EXERCISE SPORT,0270-1367,2168-3824,PSYCHIATRY/PSYCHOLOGY
Review Journal of Autism and Developmental Disorders,REV J AUTISM DEV DISORD,REV J AUTISM DEV DIS,2195-7177,2195-7185,PSYCHIATRY/PSYCHOLOGY
REVIEW OF GENERAL PSYCHOLOGY,REV GEN PSYCHOL,REV GEN PSYCHOL,1089-2680,1939-1552,PSYCHIATRY/PSYCHOLOGY
Revista Argentina de Clinica Psicologica,REV ARGENT CLIN PSICOL,REV ARGENT CLIN PSIC,0327-6716,null,PSYCHIATRY/PSYCHOLOGY
REVISTA BRASILEIRA DE PSIQUIATRIA,REV BRAS PSIQUIATR,REV BRAS PSIQUIATR,1516-4446,1809-452X,PSYCHIATRY/PSYCHOLOGY
Revista de Psicodidactica,REV PSICODIDACT,REV PSICODIDACT,1136-1034,2254-4372,PSYCHIATRY/PSYCHOLOGY
Revista de Psicologia del Deporte,REV PSICOL DEPORTE,REV PSICOL DEPORTE,1132-239X,null,PSYCHIATRY/PSYCHOLOGY
Revista de Psicologia Social,REV PSICOL SOC,REV PSICOL SOC,0213-4748,1579-3680,PSYCHIATRY/PSYCHOLOGY
Revista de Psiquiatria y Salud Mental,REV PSIQUIATR SALUD MENT,REV PSIQUIATR SALUD,1888-9891,1989-4600,PSYCHIATRY/PSYCHOLOGY
Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,REV IBEROAM DIAGN EVAL-AVAL P,REV IBEROAM DIAGN EV,2183-6051,2183-6051,PSYCHIATRY/PSYCHOLOGY
REVISTA LATINOAMERICANA DE PSICOLOGIA,REV LATINOAMER PSICOL,REV LAT AM PSICOL,0120-0534,null,PSYCHIATRY/PSYCHOLOGY
REVISTA MEXICANA DE PSICOLOGIA,REV MEX PSICOL,REV MEX PSICOL,0185-6073,null,PSYCHIATRY/PSYCHOLOGY
Rivista di Psichiatria,RIV PSICHIATR,RIV PSICHIATR,0035-6484,2038-2502,PSYCHIATRY/PSYCHOLOGY
SALUD MENTAL,SALUD MENT,SALUD MENT,0185-3325,null,PSYCHIATRY/PSYCHOLOGY
SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCAND J PSYCHOL,SCAND J PSYCHOL,0036-5564,1467-9450,PSYCHIATRY/PSYCHOLOGY
SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,SCHIZOPHRENIA BULL,0586-7614,1745-1701,PSYCHIATRY/PSYCHOLOGY
SCHIZOPHRENIA RESEARCH,SCHIZOPHR RES,SCHIZOPHR RES,0920-9964,1573-2509,PSYCHIATRY/PSYCHOLOGY
School Mental Health,SCH MENT HEALTH,SCH MENT HEALTH,1866-2625,1866-2633,PSYCHIATRY/PSYCHOLOGY
SCHOOL PSYCHOLOGY INTERNATIONAL,SCHOOL PSYCHOL INT,SCHOOL PSYCHOL INT,0143-0343,1461-7374,PSYCHIATRY/PSYCHOLOGY
SCHOOL PSYCHOLOGY QUARTERLY,SCHOOL PSYCHOL QUART,SCHOOL PSYCHOL QUART,1045-3830,1939-1560,PSYCHIATRY/PSYCHOLOGY
SCHOOL PSYCHOLOGY REVIEW,SCHOOL PSYCHOL REV,SCHOOL PSYCHOL REV,0279-6015,null,PSYCHIATRY/PSYCHOLOGY
Self and Identity,SELF IDENTITY,SELF IDENTITY,1529-8868,1529-8876,PSYCHIATRY/PSYCHOLOGY
SEX ROLES,SEX ROLES,SEX ROLES,0360-0025,1573-2762,PSYCHIATRY/PSYCHOLOGY
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,SEX ABUSE-J RES TREAT,SEX ABUSE-J RES TR,1079-0632,1573-286X,PSYCHIATRY/PSYCHOLOGY
Sexual and Relationship Therapy,SEX RELATSH THER,SEX RELATSH THER,1468-1994,1468-1749,PSYCHIATRY/PSYCHOLOGY
SMALL GROUP RESEARCH,SMALL GROUP RES,SMALL GR RES,1046-4964,1552-8278,PSYCHIATRY/PSYCHOLOGY
SOCIAL BEHAVIOR AND PERSONALITY,SOC BEHAV PERSONAL,SOC BEHAV PERSONAL,0301-2212,1179-6391,PSYCHIATRY/PSYCHOLOGY
SOCIAL COGNITION,SOC COGNITION,SOC COGNITION,0278-016X,null,PSYCHIATRY/PSYCHOLOGY
SOCIAL DEVELOPMENT,SOC DEV,SOC DEV,0961-205X,1467-9507,PSYCHIATRY/PSYCHOLOGY
Social Influence,SOC INFLU,SOC INFLUENCE,1553-4510,1553-4529,PSYCHIATRY/PSYCHOLOGY
Social Issues and Policy Review,SOC SSUES POLICY REV,SOC ISS POLICY REV,1751-2395,1751-2409,PSYCHIATRY/PSYCHOLOGY
Social Neuroscience,SOC NEUROSCI,SOC NEUROSCI-UK,1747-0919,1747-0927,PSYCHIATRY/PSYCHOLOGY
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,SOC PSYCHIAT PSYCHIAT EPIDEM,SOC PSYCH PSYCH EPID,0933-7954,1433-9285,PSYCHIATRY/PSYCHOLOGY
Social Psychological and Personality Science,SOC PSYCHOL PERSONAL SCI,SOC PSYCHOL PERS SCI,1948-5506,1948-5514,PSYCHIATRY/PSYCHOLOGY
Social Psychology of Education,SOC PSYCHOL EDUC,SOC PSYCHOL EDUC,1381-2890,1573-1928,PSYCHIATRY/PSYCHOLOGY
SOCIAL PSYCHOLOGY QUARTERLY,SOC PSYCHOL QUART,SOC PSYCHOL QUART,0190-2725,1939-8999,PSYCHIATRY/PSYCHOLOGY
Social Psychology,SOC PSYCHOL,SOC PSYCHOL-GERMANY,1864-9335,2151-2590,PSYCHIATRY/PSYCHOLOGY
South African Journal of Psychiatry,SAJP-S AFR J PSYCHIATRY,SAJP-S AFR J PSYCHI,1608-9685,1608-9685,PSYCHIATRY/PSYCHOLOGY
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,S AFR J PSYCHOL,S AFR J PSYCHOL,0081-2463,2078-208X,PSYCHIATRY/PSYCHOLOGY
Spanish Journal of Psychology,SPAN J PSYCHOL,SPAN J PSYCHOL,1138-7416,1988-2904,PSYCHIATRY/PSYCHOLOGY
Spatial Cognition and Computation,SPAT COGN COMPUT,SPAT COGN COMPUT,1387-5868,1542-7633,PSYCHIATRY/PSYCHOLOGY
Sport Exercise and Performance Psychology,SPORT EXERC PERFORM PSYCHOL,SPORT EXERC PERFORM,2157-3905,2157-3913,PSYCHIATRY/PSYCHOLOGY
SPORT PSYCHOLOGIST,SPORT PSYCHOL,SPORT PSYCHOL,0888-4781,1543-2793,PSYCHIATRY/PSYCHOLOGY
STRESS AND HEALTH,STRESS HEALTH,STRESS HEALTH,1532-3005,1532-2998,PSYCHIATRY/PSYCHOLOGY
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,STRESS,STRESS,1025-3890,1607-8888,PSYCHIATRY/PSYCHOLOGY
STUDIA PSYCHOLOGICA,STUD PSYCHOL,STUD PSYCHOL,0039-3320,null,PSYCHIATRY/PSYCHOLOGY
Suchttherapie,SUCHTTHERAPIE,SUCHTTHERAPIE,1439-9903,1439-989X,PSYCHIATRY/PSYCHOLOGY
SUICIDE AND LIFE-THREATENING BEHAVIOR,SUICIDE LIFE-THREATEN BEHAV,SUICIDE LIFE-THREAT,0363-0234,1943-278X,PSYCHIATRY/PSYCHOLOGY
SWISS JOURNAL OF PSYCHOLOGY,SWISS J PSYCHOLOGY,SWISS J PSYCHOL,1421-0185,1662-0879,PSYCHIATRY/PSYCHOLOGY
TEACHING OF PSYCHOLOGY,TEACH PSYCHOL,TEACH PSYCHOL,0098-6283,1532-8023,PSYCHIATRY/PSYCHOLOGY
Terapia Psicologica,TER PSICOL,TER PSICOL,0718-4808,0718-4808,PSYCHIATRY/PSYCHOLOGY
THEORY & PSYCHOLOGY,THEOR PSYCHOL,THEOR PSYCHOL,0959-3543,1461-7447,PSYCHIATRY/PSYCHOLOGY
THINKING & REASONING,THINK REASONING,THINK REASONING,1354-6783,1464-0708,PSYCHIATRY/PSYCHOLOGY
Topics in Cognitive Science,TOP COGN SCI,TOP COGN SCI,1756-8757,1756-8765,PSYCHIATRY/PSYCHOLOGY
Training and Education in Professional Psychology,TRAIN EDUC PROF PSYCHOL,TRAIN EDUC PROF PSYC,1931-3918,1931-3926,PSYCHIATRY/PSYCHOLOGY
Transcultural Psychiatry,TRANSCULT PSYCHIATRY,TRANSCULT PSYCHIATRY,1363-4615,1461-7471,PSYCHIATRY/PSYCHOLOGY
Translational Psychiatry,TRANSL PSYCHIATR,TRANSL PSYCHIAT,2158-3188,2158-3188,PSYCHIATRY/PSYCHOLOGY
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,TRANSP RES PT F-TRAFFIC PSYCH,TRANSPORT RES F-TRAF,1369-8478,1873-5517,PSYCHIATRY/PSYCHOLOGY
TRAVAIL HUMAIN,TRAV HUM,TRAV HUMAIN,0041-1868,2104-3663,PSYCHIATRY/PSYCHOLOGY
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,TRENDS COGN SCI,1364-6613,1879-307X,PSYCHIATRY/PSYCHOLOGY
Turk Psikiyatri Dergisi,TURK PSIKIYATR DERG,TURK PSIKIYATR DERG,1300-2163,1300-2163,PSYCHIATRY/PSYCHOLOGY
TURK PSIKOLOJI DERGISI,TURK PSIKOLOJI DERGISI,TURK PSIKOL DERG,1300-4433,null,PSYCHIATRY/PSYCHOLOGY
Universitas Psychologica,UNIV PSYCHOL,UNIV PSYCHOL,1657-9267,null,PSYCHIATRY/PSYCHOLOGY
VERHALTENSTHERAPIE,VERHALTENSTHERAPIE,VERHALTENSTHERAPIE,1016-6262,1423-0402,PSYCHIATRY/PSYCHOLOGY
VISUAL COGNITION,VIS COGN,VIS COGN,1350-6285,1464-0716,PSYCHIATRY/PSYCHOLOGY
VOPROSY PSIKHOLOGII,VOP PSIKHOL,VOP PSIKHOL+,0042-8841,null,PSYCHIATRY/PSYCHOLOGY
Wiley Interdisciplinary Reviews-Cognitive Science,WILEY INTERDISCIP REV-COGN SC,WIRES COGN SCI,1939-5078,1939-5086,PSYCHIATRY/PSYCHOLOGY
WOMEN & THERAPY,WOMEN THER,WOMEN THER,0270-3149,1541-0315,PSYCHIATRY/PSYCHOLOGY
WORK AND STRESS,WORK STRESS,WORK STRESS,0267-8373,1464-5335,PSYCHIATRY/PSYCHOLOGY
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,WORLD J BIOL PSYCHIATRY,WORLD J BIOL PSYCHIA,1562-2975,1814-1412,PSYCHIATRY/PSYCHOLOGY
World Psychiatry,WORLD PSYCHIATRY,WORLD PSYCHIATRY,2051-5545,2051-5545,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,Z ARB ORGANISATIONSPSYCHOL,Z ARB ORGAN,0932-4089,2190-6270,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,Z ENTWICKLUNGSPSYCHOL PADAGO,Z ENTWICKL PADAGOGIS,0049-8637,2190-6262,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Evaluation,Z EVAL,Z EVAL,1619-5515,1619-5515,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Gesundheitspsychologie,Z GESUNDH,Z GESUNDHEITSPSYCHOL,0943-8149,2190-6289,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE,Z KINDER JUGENDPSYCHIAT PSYCH,Z KINDER JUG-PSYCH,1422-4917,1664-2880,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,Z KLIN PSYCHOL PSYCHOTHER,Z KL PSYCH PSYCHOTH,1616-3443,2190-6297,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,Z PADAGOG PSYCHOL,Z PADAGOG PSYCHOL,1010-0652,1664-2910,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Psychiatrie Psychologie und Psychotherapie,Z PSYCHIATR PSYCHOL PSYCHOTHE,Z PSYCHIATR PSYCH PS,1661-4747,1664-2929,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Psychologie-Journal of Psychology,Z PSYCHOL,Z PSYCHOL,2190-8370,2151-2604,PSYCHIATRY/PSYCHOLOGY
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,Z PSYCHOSOM MED PSYCHOTHER,Z PSYCHOSOM MED PSYC,1438-3608,2196-8349,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Sexualforschung,Z SEXFORSCH,Z SEXUALFORSCH,0932-8114,1438-9460,PSYCHIATRY/PSYCHOLOGY
Zeitschrift fur Sportpsychologie,Z SPORTPSYCHOL,Z SPORTPSYCHOL,1612-5010,2190-6300,PSYCHIATRY/PSYCHOLOGY
